Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.jkiss.dbeaver.ext.generic.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ext.generic.model.meta; org.jkiss.dbeaver.ext.generic; org.jkiss.dbeaver.model.impl.jdbc.cache; org.jkiss.dbeaver.model.impl.struct; org.jkiss.dbeaver.model.impl.jdbc.struct
.,org.jkiss.dbeaver.ext.generic.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.generic.model; org.jkiss.dbeaver.ext.generic.model.meta; org.jkiss.dbeaver.ext.generic.model
.,org.jkiss.dbeaver.ext.generic.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.generic.model; org.jkiss.dbeaver.model.impl.jdbc.cache; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver.model.sql.parser; org.jkiss.dbeaver.ext.generic.model
.,org.jkiss.dbeaver.ext.generic.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.generic.model; org.jkiss.dbeaver.model.impl.jdbc.struct; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver.model.sql.parser; org.jkiss.dbeaver.ext.generic.model
.,org.jkiss.dbeaver.ext.generic.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.generic.model; org.jkiss.dbeaver.model.impl.jdbc.struct; org.jkiss.dbeaver.model.impl.jdbc.data.handlers; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver.model.sql.parser; org.jkiss.dbeaver.ext.generic.model
.,org.jkiss.dbeaver.ext.greenplum.edit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GreenplumExternalTableManager; GreenplumExternalTableManager2Test]; [GreenplumFunctionManager]; [GreenplumSchemaManager]; [GreenplumTableManager; GreenplumTableManagerTest]. LCC (Lack of Component Cohesion) = 0.67
.,org.jkiss.dbeaver.ext.greenplum.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GreenplumCharacterSet; GreenplumExternalTable; GreenplumExternalTable.ExternalTableFormatTypeProvider; GreenplumExternalTableUriLocationsHandler; GreenplumSchema; GreenplumSchemaCache; GreenplumExternalTableTest; GreenplumExternalTableUriLocationsHandlerTest; PostgreServerGreenplumTest; GreenplumDataSource; GreenplumFunctionTest; GreenplumTableTest; GreenplumWithClauseBuilderTest; GreenplumFunction; GreenplumTable; GreenplumWithClauseBuilder; PostgreServerGreenplum; GreenplumMaterializedView; GreenplumUtils]; [GreenplumExternalTable.FormatType]; [GreenplumExternalTable.RejectLimitType]; [GreenplumExternalTable.GreenplumCharacterSetProvider]; [GreenplumExternalTable.ExternalTableUriLocationsRenderer]; [GreenplumFunction.FunctionExecLocation]; [GreenplumSchema.GreenplumTableCache]; [GreenplumSchema.GreenplumFunctionsCache]. LCC (Lack of Component Cohesion) = 0.31
.,org.jkiss.dbeaver.ext.h2.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [H2Constraint]; [H2DataSource]; [H2MetaModel; H2RoutineAlias]; [H2Sequence]; [H2Sequence.H2SequenceFieldsValueValidator]; [H2SQLDialect]; [H2Table]. LCC (Lack of Component Cohesion) = 0.88
.,org.jkiss.dbeaver.ext.hana.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HANAConstants; HANADataSource; HANADataSourceInfo; HANAMetaModel; HANAProcedure; HANAProcedureParameter; HANASchema; HANASQLDialect; HANAStructureAssistant; HANASysViewColumn; HANATableColumn; HANADialectTest; HANADependency; HANAView; HANAObjectType; HANATable]; [HANADependency.DummyObject]; [HANAInplaceTableTypeColumn]; [HANASynonym]; [HANATableColumn.GeometryInfo]; [HANATrigger]. LCC (Lack of Component Cohesion) = 0.29
.,org.jkiss.dbeaver.ext.hana.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.hana.model; org.jkiss.dbeaver.ext.hana.model.plan; org.jkiss.dbeaver.ext.hana.model
.,org.jkiss.dbeaver.ext.hana.model.plan,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ext.hana.model
.,org.jkiss.dbeaver.ext.hive.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HiveDataSource; HiveDataSourceInfo]; [HiveDataSourceProvider]; [HiveIndex; HiveTable]; [HiveMetaModel]; [HiveSQLDialect]; [HiveTable.IndexCache]; [HiveTableColumn]. LCC (Lack of Component Cohesion) = 0.78
.,org.jkiss.dbeaver.ext.mssql.edit.generic,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single, general entry-point via the following class: SQLServerGenericTableManager
.,org.jkiss.dbeaver.ext.mssql.edit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SQLServerBaseTableManager; SQLServerExternalTableManager; SQLServerTableManager; SQLServerTableTypeManager; SQLServerViewManager; SQLServerTableColumnManager]; [SQLServerCheckConstraintManager]; [SQLServerDatabaseManager]; [SQLServerDataTypeManager]; [SQLServerExtendedPropertyManager]; [SQLServerForeignKeyManager]; [SQLServerIndexManager]; [SQLServerLoginManager]; [SQLServerObjectManager; SQLServerProcedureManager; SQLServerSynonymManager]; [SQLServerTableTriggerManager]; [SQLServerUniqueKeyManager]; [SQLServerViewManager.ViewAction]. LCC (Lack of Component Cohesion) = 0.63
.,org.jkiss.dbeaver.ext.mssql.model.generic,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SQLServerGenericDatabase; SQLServerMetaModel; SQLServerGenericDataSource; SQLServerGenericTable; SQLServerGenericTableColumn; SQLServerGenericTrigger; SQLServerGenericIndex; SQLServerGenericProcedure; SQLServerGenericSchema]; [SQLServerGenericSynonym]; [SQLServerGenericView]. LCC (Lack of Component Cohesion) = 0.27
.,org.jkiss.dbeaver.ext.mssql.model,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 63
.,org.jkiss.dbeaver.ext.mssql.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerType]; [SQLServerAuthentication]; [SQLServerAuthentication.AuthInitializer]; [SQLServerDatabase; SQLServerDatabaseTrigger; SQLServerDataSource; SQLServerDataSourceInfo; SQLServerDataType; SQLServerExecutionContext; SQLServerExtendedProperty; SQLServerExtendedPropertyCache; SQLServerExtendedPropertyOwner; SQLServerLogin; SQLServerLoginPasswordManager; SQLServerObject; SQLServerObjectClass; SQLServerObjectType; SQLServerProcedure; SQLServerProcedureParameter; SQLServerSchema; SQLServerSchema.TableCache; SQLServerSchema.ProcedureCache; SQLServerSequence; SQLServerStructureAssistant; SQLServerSynonym; SQLServerTable; SQLServerTableBase; SQLServerTableCheckConstraint; SQLServerTableColumn; SQLServerTableForeignKey; SQLServerTableForeignKeyColumn; SQLServerTableIndex; SQLServerTableIndexColumn; SQLServerTableTrigger; SQLServerTableType; SQLServerTableUniqueKey; SQLServerTableUniqueKeyColumn; SQLServerTriggerBase; SQLServerTypedObject; SQLServerView; SQLServerDatabase.SchemaCache; SQLServerExternalTable]; [SQLServerDatabase.DataTypeCache]; [SQLServerDatabase.TriggerCache]; [SQLServerDataSource.DatabaseCache]; [SQLServerDataSource.SystemDataTypeCache]; [SQLServerDataSource.ServerLoginCache]; [SQLServerDialect]; [SQLServerExtendedProperty.DataTypeListProvider]; [SQLServerExternalTable.AdditionalInfoValidator]; [SQLServerExternalTable.AdditionalInfo]; [SQLServerLogin.LoginType]; [SQLServerSchema.IndexCache]; [SQLServerSchema.UniqueConstraintCache]; [SQLServerSchema.ForeignKeyCache]; [SQLServerSchema.SequenceCache]; [SQLServerSchema.SynonymCache]; [SQLServerSchema.TriggerCache]; [SQLServerSSLHandlerImpl]; [SQLServerTable.CheckConstraintCache]; [SQLServerTableColumn.IdentityInfo]; [SQLServerTableColumn.IdentityInfoValidator]; [SQLServerTableColumn.DataTypeListProvider]. LCC (Lack of Component Cohesion) = 0.4
.,org.jkiss.dbeaver.ext.mssql,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ext.mssql.model; org.jkiss.dbeaver.model.impl.auth
.,org.jkiss.dbeaver.ext.mssql,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SQLServerConstants; SQLServerDataSourceProvider; SQLServerGenericDataSourceProvider; SQLServerMessages; SQLServerUtils]; [SQLServerGSS]. LCC (Lack of Component Cohesion) = 0.33
.,org.jkiss.dbeaver.ext.mssql,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.mssql; org.jkiss.dbeaver.ext.mssql.model; org.jkiss.dbeaver.ext.mssql
.,org.jkiss.dbeaver.ext.mssql.tasks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SQLServerToolTableRebuild; SQLServerToolTableRebuildSettings; SQLServerToolWithStatus; SQLServerToolTableTriggerDisable; SQLServerToolTableTriggerSettings; SQLServerToolTableTriggerEnable]; [SQLServerToolWithStatus.ToolStatus]. LCC (Lack of Component Cohesion) = 0.29
.,org.jkiss.dbeaver.ext.mssql.ui.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SQLServerCheckConstraintConfigurator]; [SQLServerColumnConfigurator]; [SQLServerDatabaseConfigurator]; [SQLServerForeignKeyConfigurator]; [SQLServerIndexConfigurator]; [SQLServerIndexConfigurator.SQLServerEditIndexPage]; [SQLServerLoginConfigurator]; [SQLServerProcedureConfigurator]; [SQLServerUniqueKeyConfigurator]. LCC (Lack of Component Cohesion) = 1.0
.,org.jkiss.dbeaver.ext.mysql.data,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLDateTimeValueHandler]; [MySQLGeometryValueHandler; MySQLValueHandlerProvider; MySQLJSONValueHandler; MySQLUUIDValueHandlerProvider]; [MySQLNumberValueHandler]. LCC (Lack of Component Cohesion) = 0.5
.,org.jkiss.dbeaver.ext.mysql.edit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLConstraintManager]; [MySQLDatabaseManager]; [MySQLEventManager]; [MySQLForeignKeyManager]; [MySQLIndexManager]; [MySQLPartitionTableManager; MySQLTableManager; MySQLViewManager]; [MySQLProcedureManager]; [MySQLSequenceManager]; [MySQLTableColumnManager]; [MySQLTriggerManager]. LCC (Lack of Component Cohesion) = 0.83
.,org.jkiss.dbeaver.ext.mysql.model,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 74
.,org.jkiss.dbeaver.ext.mysql.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.model.impl.jdbc.cache; org.jkiss.dbeaver.model.impl.sql
.,org.jkiss.dbeaver.ext.mysql.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLCatalog; MySQLCharset; MySQLCollation; MySQLDataSource; MySQLEngine; MySQLEvent; MySQLExecutionContext; MySQLGrant; MySQLHelpProvider; MySQLInformation; MySQLPackage; MySQLParameter; MySQLPlugin; MySQLPrivilege; MySQLProcedure; MySQLProcedureParameter; MySQLSequence; MySQLSourceObject; MySQLStructureAssistant; MySQLTable; MySQLTable.AdditionalInfo; MySQLTable.EngineListProvider; MySQLTableBase; MySQLTableColumn; MySQLTableConstraint; MySQLTableConstraintBase; MySQLTableConstraintColumn; MySQLTableForeignKey; MySQLTableForeignKeyColumn; MySQLTableIndex; MySQLTableIndexColumn; MySQLTrigger; MySQLUser; MySQLView; QueryTransformerFetchAll; MySQLCatalog.AdditionalInfo; MySQLPartition]; [MySQLCatalog.AdditionalInfoValidator]; [MySQLCatalog.TableCache]; [MySQLCatalog.IndexCache]; [MySQLCatalog.UniqueKeyCache]; [MySQLCatalog.CheckConstraintCache]; [MySQLCatalog.ProceduresCache]; [MySQLCatalog.PackageCache]; [MySQLCatalog.TriggerCache]; [MySQLCatalog.EventCache]; [MySQLCatalog.SequenceCache]; [MySQLCatalog.CharsetListProvider]; [MySQLCatalog.CollationListProvider]; [MySQLDataSource.CatalogCache]; [MySQLDataSourceInfo]; [MySQLDialect; MySQLDialectTest]; [MySQLEngine.Support]; [MySQLInsertReplaceMethod]; [MySQLInsertReplaceMethodIgnore]; [MySQLInsertReplaceMethodUpdate]; [MySQLPackage.ProceduresCache]; [MySQLPlugin.Status]; [MySQLPrivilege.Kind]; [MySQLStructureAssistant.QueryParams]; [MySQLTable.AdditionalInfoValidator]; [MySQLTable.PartitionCache]; [MySQLTable.CharsetListProvider]; [MySQLTable.CollationListProvider]; [MySQLTable.PartitionedTablePropertyValidator]; [MySQLTableColumn.KeyType]; [MySQLTableColumn.CharsetListProvider]; [MySQLTableColumn.CollationListProvider]; [MySQLTableConstraint.MySQLCheckConstraintsValueValidator]; [MySQLTableIndex.IndexTypeModifyListProvider]; [MySQLView.CheckOption]; [MySQLView.AdditionalInfo]; [MySQLView.AdditionalInfoValidator]. LCC (Lack of Component Cohesion) = 0.5
.,org.jkiss.dbeaver.ext.mysql,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.registry; org.jkiss.dbeaver.ext.mysql.model
.,org.jkiss.dbeaver.ext.mysql,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.mysql; org.jkiss.dbeaver.ext.mysql.model; org.jkiss.dbeaver.ext.mysql
.,org.jkiss.dbeaver.ext.mysql.tasks,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.tasks.nativetool
.,org.jkiss.dbeaver.ext.mysql.tasks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLDatabaseExportHandler; MySQLDatabaseExportInfo; MySQLExportSettings; MySQLNativeCredentialsSettings; MySQLNativeToolHandler; MySQLScriptExecuteHandler; MySQLScriptExecuteSettings; MySQLTasks]; [MySQLDatabaseExportHandler.DumpFilterJob]; [MySQLExportSettings.DumpMethod]; [MySQLScriptExecuteSettings.LogLevel]; [MySQLToolTableAnalyze; MySQLToolTableAnalyzeSettings; MySQLToolWithStatus; MySQLToolTableCheck; MySQLToolTableCheckSettings; MySQLToolTableOptimize; MySQLToolTableOptimizeSettings; MySQLToolTableRepair; MySQLToolTableRepairSettings; MySQLToolTableTruncate; MySQLToolTableTruncateSettings]; [MySQLToolTableCheckSettings.CheckOptionListProvider]; [MySQLToolWithStatus.ToolStatus]. LCC (Lack of Component Cohesion) = 0.29
.,org.jkiss.dbeaver.ext.mysql.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLExportWizard; MySQLExportWizardPageObjects; MySQLExportWizardPageSettings; MySQLWizardPageSettings; MySQLScriptExecuteWizard; MySQLScriptExecuteWizardPageSettings]; [MySQLScriptExecutor]; [MySQLTaskConfigurator]; [MySQLTaskConfigurator.ConfigPanel]. LCC (Lack of Component Cohesion) = 0.44
.,org.jkiss.dbeaver.ext.mysql.ui.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLCatalogConfigurator]; [MySQLCommandChangeUser; UserPropertyHandler]; [MySQLCommandGrantPrivilege]; [MySQLConstraintConfigurator]; [MySQLEventConfigurator]; [MySQLForeignKeyConfigurator]; [MySQLIndexConfigurator]; [MySQLIndexConfigurator.MySQLEditIndexPage]; [MySQLProcedureConfigurator]; [MySQLSequenceConfigurator]; [MySQLTriggerConfigurator]; [MySQLUserManager]; [MySQLUserManager.CommandCreateUser]; [MySQLUserManager.CommandDropUser]; [MySQLUserManager.CommandRenameUser]; [MySQLUserManager.ReflectorRenameUser]. LCC (Lack of Component Cohesion) = 0.94
.,org.jkiss.dbeaver.ext.mysql.ui.editors,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MySQLEnumValueManager]; [MySQLPackageBodyEditor]; [MySQLSessionEditor]; [MySQLSessionEditor.KillSessionAction]; [MySQLSourceViewEditor]; [MySQLUserEditorAbstract; MySQLUserEditorGeneral; MySQLUserEditorPrivileges]; [MySQLUserEditorAbstract.UserPageControl]; [MySQLUserEditorGeneral.PageControl]; [MySQLUserEditorGeneral.CommandListener]; [MySQLUserEditorPrivileges.PageControl]. LCC (Lack of Component Cohesion) = 0.83
.,org.jkiss.dbeaver.ext.oracle.data,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OracleBFILEValueHandler; OracleValueHandlerProvider; OracleXMLValueHandler; OracleBLOBValueHandler; OracleCLOBValueHandler; OracleContentXML; OracleObjectValueHandler; OracleRefCursorValueHandler]; [OracleBinaryFormatter]; [OracleContentBFILE]; [OracleContentOpaque]; [OracleObjectValue]; [OracleRefCursor]; [OracleTemporalAccessorValueHandler; OracleTimestampConverter; OracleTimestampValueHandler]; [OracleXMLWrapper]; [QueryTransformerRowNum]. LCC (Lack of Component Cohesion) = 0.5
.,org.jkiss.dbeaver.ext.oracle.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.oracle.data; org.jkiss.dbeaver.ext.oracle.model; org.jkiss.dbeaver.ext.oracle.data
.,org.jkiss.dbeaver.ext.oracle.edit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OracleConstraintManager]; [OracleDataTypeManager]; [OracleForeignKeyManager]; [OracleIndexManager]; [OracleMaterializedViewManager; OracleTableColumnManager; OracleTableManager; OracleViewManager]; [OraclePackageManager]; [OracleProcedureManager]; [OracleQueueManager]; [OracleSchemaManager]; [OracleSequenceManager]; [OracleTableTriggerManager]. LCC (Lack of Component Cohesion) = 0.79
.,org.jkiss.dbeaver.ext.oracle.edit,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.oracle.edit; org.jkiss.dbeaver.ext.oracle.model; org.jkiss.dbeaver.ext.oracle.edit
.,org.jkiss.dbeaver.ext.oracle.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ext.oracle.model
.,org.jkiss.dbeaver.ext.oracle.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.oracle.internal; org.jkiss.dbeaver.ext.oracle.model; org.jkiss.dbeaver.ext.oracle.internal
.,org.jkiss.dbeaver.ext.oracle.model.dict,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ext.oracle.internal
.,org.jkiss.dbeaver.ext.oracle.model,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 168
.,org.jkiss.dbeaver.ext.oracle.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.model.sql.parser.tokens.predicates; org.jkiss.dbeaver.model.impl.sql; org.jkiss.dbeaver.ext.oracle.data; org.jkiss.dbeaver.ext.oracle.edit
.,org.jkiss.dbeaver.ext.oracle.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OracleAttributeContentTypeProvider; OracleConstants; OracleDataFile; OracleDataSource; OracleDataSource.OracleOutputReader; OracleDataSource.SchemaCache; OracleDataSourceInfo; OracleDataType; OracleDataTypeAttribute; OracleDataTypeMember; OracleDataTypeMethod; OracleDataTypeMethodParameter; OracleDataTypeModifier; OracleDDLFormat; OracleDependency; OracleDependencyGroup; OracleDependencyType; OracleExecutionContext; OracleGlobalObject; OracleGrantee; OracleGrantee.ObjectPrivCache; OracleJavaClass; OracleJob; OracleLazyReference; OracleMaterializedView; OracleObject; OracleObjectType; OracleObjectValidateAction; OraclePackage; OracleParameterMode; OraclePriv; OraclePrivObject; OraclePrivRole; OraclePrivSystem; OraclePrivTable; OraclePrivUser; OracleProcedureArgument; OracleProcedureBase; OracleProcedurePackaged; OracleProcedureStandalone; OracleRecycledObject; OracleRole; OracleSchedulerJob; OracleSchedulerJobArgument; OracleSchedulerProgramArgument; OracleSchema; OracleSchema.TableCache; OracleSchema.ConstraintCache; OracleSchema.ForeignKeyCache; OracleSchema.SynonymCache; OracleSchemaObject; OracleSchemaTrigger; OracleSegment; OracleSequence; OracleSourceType; OracleSQLDialect; OracleStructureAssistant; OracleSynonym; OracleTable; OracleTableBase; OracleTableBase.TablePrivCache; OracleTableColumn; OracleTableConstraint; OracleTableConstraintBase; OracleTableConstraintColumn; OracleTableForeignKey; OracleTableForeignKeyColumn; OracleTableIndex; OracleTableIndexColumn; OracleTableNotPartitionPropertyValidator; OracleTablePartition; OracleTablePartition.PartitionInfoBase; OracleTablePhysical; OracleTablePhysical.PartitionInfo; OracleTablespace; OracleTableTrigger; OracleTrigger; OracleTriggerColumn; OracleUser; OracleUserProfile; OracleUserProfile.ProfileResource; OracleUtils; OracleView; OracleView.AdditionalInfo; OracleAlterTableColumnTest; OracleBaseTableTest; OracleDialectFunctionsTest; OracleTestUtils; OracleChangeUserPasswordManager; OracleConfigurator; OracleDataSource.ProfileCache; OracleDBLink; OracleObjectPersistAction; OracleObjectStatus; OracleQueue; OracleSchedulerProgram]; [OracleConstants.ConnectionType]; [OracleDataFile.OnlineStatus]; [OracleDataSource.DataTypeCache]; [OracleDataSource.TablespaceCache]; [OracleDataSource.UserCache]; [OracleDataSource.RoleCache]; [OracleDataType.TypeDesc]; [OracleDataType.AttributeCache]; [OracleDataType.MethodCache]; [OracleDataTypeMethod.ParameterCache]; [OracleGrantee.RolePrivCache]; [OracleGrantee.SystemPrivCache]; [OracleInsertReplaceMethodIgnore]; [OracleJavaClass.Accessibility]; [OracleMaterializedView.AdditionalInfo]; [OracleObjectAdapter]; [OracleObjectType.ObjectFinder]; [OraclePackage.ProceduresCache]; [OracleProcedureBase.ArgumentsCache]; [OracleQueue.QueueType]; [OracleRecycledObject.Operation]; [OracleRole.UserCache]; [OracleSchedulerJob.JobState]; [OracleSchedulerJob.ArgumentsCache]; [OracleSchedulerProgram.ArgumentsCache]; [OracleSchema.SpecialPosition]; [OracleSchema.IndexCache]; [OracleSchema.DataTypeCache]; [OracleSchema.SequenceCache]; [OracleSchema.QueueCache]; [OracleSchema.ProceduresCache]; [OracleSchema.PackageCache]; [OracleSchema.DBLinkCache]; [OracleSchema.TriggerCache]; [OracleSchema.TableTriggerCache]; [OracleSchema.JavaCache]; [OracleSchema.SchedulerJobCache]; [OracleSchema.SchedulerProgramCache]; [OracleSchema.RecycleBin]; [OracleSchema.JobCache]; [OracleTable.AdditionalInfo]; [OracleTableBase.TableAdditionalInfo]; [OracleTableBase.AdditionalInfoValidator]; [OracleTableBase.CommentsValidator]; [OracleTableColumn.CommentLoadValidator]; [OracleTableColumn.ColumnDataTypeListProvider]; [OracleTableForeignKey.ConstraintModifyRuleListProvider]; [OracleTablePartition.PartitionType]; [OracleTablePartition.PartitionByIntervalUnitKind]; [OracleTablePartition.PartitionByIntervalLiteralKind]; [OracleTablePartition.PartitionByIntervalKind]; [OracleTablePartition.PartitionByIntervalKindListProvider]; [OracleTablePartition.OraclePartitionIntervalValidator]; [OracleTablePhysical.PartitionCache]; [OracleTablePhysical.PartitionInfoValidator]; [OracleTablePhysical.TablespaceListProvider]; [OracleTablePhysical.PartitionedValueLoadValidator]; [OracleTablePhysical.PartitioningTablePropertyValidator]; [OracleTablespace.Status]; [OracleTablespace.Contents]; [OracleTablespace.Logging]; [OracleTablespace.ExtentManagement]; [OracleTablespace.AllocationType]; [OracleTablespace.SegmentSpaceManagement]; [OracleTablespace.Retention]; [OracleTablespace.FileCache]; [OracleTablespace.SegmentCache]; [OracleTablespace.TablespaceReferenceValidator]; [OracleTrigger.BaseObjectType]; [OracleTrigger.ActionType]; [OracleUser.ProfileReferenceValidator]; [OracleUtils.DBMSMetaDependentObjectType]. LCC (Lack of Component Cohesion) = 0.43
.,org.jkiss.dbeaver.ext.oracle.oci,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ext.oracle
.,org.jkiss.dbeaver.ext.oracle,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ext.oracle; org.jkiss.dbeaver.ext.oracle.oci; org.jkiss.dbeaver.ext.oracle
.,org.jkiss.dbeaver.ext.oracle.tasks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OracleScriptExecuteHandler; OracleScriptExecuteSettings]; [OracleTasks]; [OracleToolIndexGatherStatistics; OracleToolIndexGatherStatisticsSettings]; [OracleToolMViewRefresh; OracleToolMViewRefreshSettings]; [OracleToolsTableGatherStatistics; OracleToolTableGatherStatisticsSettings]; [OracleToolTableGatherStatisticsSettings.OracleStatisticPercentLimiter]; [OracleToolTableTriggerDisable; OracleToolTableTriggerSettings; OracleToolTableTriggerEnable]; [OracleToolTableTruncate; OracleToolTableTruncateSettings]; [OracleToolTableValidateStructure; OracleToolTableValidateStructureSettings]; [OracleToolTableValidateStructureSettings.CheckOptionListProvider]. LCC (Lack of Component Cohesion) = 0.56
.,org.jkiss.dbeaver.ext.oracle.ui.actions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompileHandler; OracleCompilerDialog; OracleTaskHandler; JobRunHandler]; [PackageNavigateHandler]; [PackageNavigateHandler.NavigateJob]. LCC (Lack of Component Cohesion) = 0.5
.,org.jkiss.dbeaver.ext.oracle.ui.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OracleAuthDatabaseNativeConfigurator]; [OracleAuthOSConfigurator]; [OracleConstraintConfigurator]; [OracleDataTypeConfigurator]; [OracleForeignKeyConfigurator]; [OracleIndexConfigurator]; [OraclePackageConfigurator]; [OracleProcedureConfigurator]; [OracleQueueConfigurator]; [OracleSchemaConfigurator]; [OracleSchemaConfigurator.NewUserDialog]; [OracleSequenceConfigurator]; [OracleTableTriggerConfigurator]. LCC (Lack of Component Cohesion) = 1.0
